title	text	label	type
The Beatles - Hey Jude (cover by 최진솔)	당신 이름은 왜 고가 아니야 최고면서	1	1
[IU TV] 360° 공연 참 좋다!	바다가 보이면 오션뷰도시가 보이면 시티뷰한강이 보이면 한강뷰언니가 로 보이면 언니 알러뷰	1	1
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18	이나은 타지에서 왔다면서요  판타지 	1	1
EXO_으르렁 (Growl by EXO@Mcountdown 2013.8.22)	이땐 몰랐지 김종대가 김종대디가 될 줄 	1	1
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808	세상에는 해가 두 개가 있지 하나는 동쪽에서 뜨는 해 다른 하나는 황찬섭 사랑해	1	1
2PM - My House (우리집) [Music Bank K-Chart / 2015.06.19]	인생은 멀리서보면 희극가까이서 보면 비극 이라는데옥택연얼굴은 성은이망극 하옵니다	1	1
겟레디윗미 EDM 페스티벌! | Makeover For Music Festival	언니오늘은 좀 허전하네요 명불허전	1	1
The Beatles - Hey Jude (cover by 최진솔)	인생은 멀리서보면 희극가까이서보면 비극언니의 보이스는 성은이 망극	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	언니 영상 본 사람들 다 타지로 간다면서 판타지	1	1
2PM - 우리집(My House) Mix (Live Compilation/무대교차편집)	장우영 얼굴은 댕댕인데 왜 하는짓 늑대야  존나 어이없어 ㅋㅋㅋ 그냥 신고할게혼인신고	1	1
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18	언니 왜 티 1개 밖에 안입어요, 큐티	1	1
[IU TV] 내가! 마! 억수로! 좋아한다고!	지구는 남극 북극 자석은 극 극 내인생은 비극 우리나라는 태극 드라마는 현대극 사극 아이유는 성은이망극	1	1
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons	야 손가락 피난다 약좀 줘봐무슨약 후시딘마데카솔 최진솔	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	언니 내가 국립국어원 찾아가서 최고를 고 빼고 진솔로 넣어줄게 좀만 기다려	1	1
Believer - Imagine Dragons (cover by jinsoulcoe)[4K]	아니 언니 왜 맨날 똑같은 티만 입어 프리티	1	1
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808	아두 남자 너무 많은 짐을 지고잇네그것은 멋짐	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	언니 다 좋은데 자꾸 벽이 느껴져요 완벽	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	이 언니는 볼 때마다 벽이 있는 느낌 완벽	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	진솔언니 이런 장르를 레게라고 하는거죠 설레게	1	1
겟레디윗미 EDM 페스티벌! | Makeover For Music Festival	언니 장난해요 왜 아직 신전 없어요저 방금 기둥 뽑았어요 신전 세우려고요 언니 신이잖아요 여신 사랑해요	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	대한민국엔 바다가 네 개 있다지 동해 서해 남해 그리고 진솔아 사랑해	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	언니 등산 하실 때 스틱 필요 없다면서요 판타스틱	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	어 최진솔언니 보니까 비내린다 심장마비	1	1
2PM - My House (우리집) [Music Bank K-Chart / 2015.06.19]	유교걸이 진보걸이 되는 순간	1	1
우리집 준호	대한민국 사대 바다 동해 서해 남해 준호 사랑해	1	1
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18	언니 다음 년도 무슨 해인 줄 알아요 이나은 사랑해	1	1
Believer - Imagine Dragons (cover by jinsoulcoe)[4K]	진솔이 누나 영상 보다가 계란 한개 떨어뜨렸어요 한계란 없으니까	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	언니 좋아하는 신 있나요? 저는 당신	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	언니 수술하신 건 잘 되셨나 보네요 날개 제거 수술	1	1
크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오	당신 그 섬에서 못나오겠네 핸섬	1	1
(ENG) 골든디스크 시상식 겟 레디 위드 미 | Golden Disc Awards Get Ready With Me	언니 타지에서 왔죠 판타지	1	1
겟레디윗미 EDM 페스티벌! | Makeover For Music Festival	동쪽에선 아침해가 뜨고 내 맘속엔 한예슬 사랑해가 뜬다 이말이여	1	1
[IU TV] '호텔 델루나' 장만월의 바깥 나들이	세상에서 가장 비싼 금은 지금입니다 이지금	1	1
크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오	침대에 까는 토퍼를 크리스토퍼로 바꾸고 싶네요	1	1
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	이 영상 덕분에 제 인생이  시발에서 시발점으로 바뀌어버렸네요	1	1
Believer - Imagine Dragons (cover by jinsoulcoe)[4K]	언니 난 언니가 참 좋은데 벽이느껴져 완벽	1	1
크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오	당신 밴드이름 그거지 마이 허즈 밴드	1	1
[입덕직캠] 있지 유나 직캠 4K '달라달라(DALLA DALLA)' (ITZY YUNA FanCam) | @MCOUNTDOWN_2019.2.14	데뷔 무대에서 흑역사가 아니라 역사를 썼네	1	1
크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오	오빠오빠가 없으면 지구 스펠링이 이에이치라메? 오빠 얼굴이 아트라서	1	1
