title,text,label,type
[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun,아침마다 보는데 웬만한 홍삼보다 힘이 더 샘솟게 해주네,1,4
[IU] Rain-Drop & Heart(마음) Concert Live Clip (@2017 Tour ‘Palette’),목소리가 와인이야 날이 갈수록 더 좋아져,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],이 영상을 고등어 한테 보여줬더니 최진솔님의 음색에 가시가 모두 발렸습니다,1,4
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18,이나은 혼혈인거 아세요 다들  한국이랑 천국 ㅋㅋ,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],이 노래를 소에게 들려주었더니 잠시뒤 외양간을 고치기 시작했습니다,1,4
제15회 학산배 전국장사 씨름대회-단체전 결승-김원진vs황찬섭 20180808,찬섭넌 두가지를 잡았지샅바 그리고 내마음,1,4
"드.디.어 주접댓글읽기!! Finally, reading the silly comments!!",용선언니가 돌잡이때 내 심장 잡았잖아,1,4
크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오,오빠 어떡해 진짜 오빠 이목구비가 내 미래보다 뚜렷해,1,4
5개국어 작업멘트로 꼬셔보기,언니 혹시 아버지 성함이 추성훈이셔 언니 완전 내 사랑이야,1,4
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K],이 언니 또 린스 드셨네목소리가 찰랑거려,1,4
Believer - Imagine Dragons (cover by jinsoulcoe)[4K],언니 치과에서 일 하세요 언니만 보면 입이 안 다물어져,1,4
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons,해가 뜬줄 알았는데 당신이 뜬거였어,1,4
크리스토퍼 (Christopher) - BAD 가사 번역 라이브 비디오,노래 신나고 좋네 크리스토퍼랑 바람나고 싶다 어떻게춤바람이라도 안될까,1,4
아이유(IU) : '삐삐(BBIBBI)' DANCE PRACTICE,저 응원봉을 들며 응원법을 부르고 있는 팬들 그리고 그 팬들과 즐기고 있는 아이유 내 롤모델이로서 쩐다온 몸에 소름이 돋아서 닭이 될 지경임,1,4
Cell Block Tango 커버 - 뮤지컬 시카고 (자막 있어요!),뮤지컬이 원래 후불제였나 그래서 돈은 어디에 내면 될까요,1,4
2PM - 우리집(My House) Mix (Live Compilation/무대교차편집),나 치과치료 받을 때 누가 이것 좀 틀어줘 입이 안다물어지네 개 처음이야 감사합니당,1,4
