title	text	label	type
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons	최진솔 그만 좋아해그게 뭔데최진솔 그만 좋아하라고그거 어떻게 하는 건데	1	3
백예린 - 그건 아마 우리의 잘못은 아닐 거야 Cover by 주호민 (Feat. 침착맨 (이말년)) I [DF LIVE]	주호민 좋아하지마그게 뭔데주호민 좋아하지 말라고원래 안 좋아해	1	3
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	최진솔로 삼행시 해보겠습니다최 사랑해진 사랑해솔 사랑해	1	3
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons	최진솔 그만 좋아해그게 뭔데최진솔 그만 좋아하라고응	1	3
2PM - 우리집(My House) Mix (Live Compilation/무대교차편집)	국방부는 내놓아라 이준호를이준호를 내놓아라 국방부는내놓아라 국방부는 이준호를	1	3
[입덕직캠] 더보이즈 주연 직캠 4K ‘주문(MIROTIC)’ (THE BOYZ JUYEON FanCam) | @MCOUNTDOWN_2020.3.5	이주연 유명해져이주연 유명해지지마이주연 유명해져이주연 유명해지지마	1	3
내가 보고 싶어서 만든 2PM 고화질 고음질 무대 모음	 이준호 제대 이준호 제대 이준호 제대 이준호 제대	1	3
[IU] 'Blueming' 응원법	영상 번 봐야하는이유첫째첫번째 아이유봐야됨둘째두번째 아이유 봐야됨셋째세번째 아이유봐야됨	1	3
5개국어 작업멘트로 꼬셔보기	임한올 그만 좋아해그게 뭔데임한올 그만 좋아하라고임한올이 뭔데	1	3
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18	이나은 직캠 그만봐그게 뭔데이나은 직캠 그만 좀 보라고그거 어떻게 하는건데	1	3
[입덕직캠] 에이프릴 나은 직캠 4K ‘예쁜 게 죄(Oh! my mistake)’ (APRIL NA EUN FanCam) | @MCOUNTDOWN_2018.10.18	지나가는 위즈원인데 진짜 이쁘다 걍 이쁨 이쁨 이쁨 이쁨 이쁨이쁨 이쁨이쁨	1	3
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	김동준 노래 그만불러그게뭔데김동준 노래 그만부르라고그게 어떻게 하는건데	1	3
