title	text	label	type
[우리집] 150905 DMC 페스티벌 2015_K-Pop 슈퍼콘서트_준호직캠_By Nuneogun	지나가다 제 댓글 보면 좋아요 한번만 정중히 부탁드립니다 알림 올 때 마다 와서 보게요	0	0
Cell Block Tango 커버 - 뮤지컬 시카고 (자막 있어요!)	또왔냐 출석체크하고가 ㅋ	0	0
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons	너무 좋아서 한국어가 다나오네	0	0
Believer - Imagine Dragons (cover by jinsoulcoe)[4K]	너무 좋아서 한국어가 다나오네	0	0
악플을 읽은 반응은??ㅋㅋㅋㅋ쎄다 After reading my bad comments...	저는 꿈쩍하지 않아요진짜루     	0	0
[IU TV] 아이유 분노의 티켓팅!	아이유씨 그런 여유로운 마음가짐으로는 아이유 콘서트 절대 못가요	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	후유증팸들아 우리도 깡팸처럼 될수있다 존버 	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	뭉치면 죽고 흩어지면 사는 그룹	0	0
저스틴비버님의 팬으로서, '야미'를 춰보았습니다. yummy dance choreo	다음에 또 해도 괜찮을까요	0	0
우리집 준호	아니 제목이ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ뭐 직캠 이런 것도 어니고 뭐 교차편집도 아니거 우리집 준호ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ맞는 말인데 웃기네	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	다들 최소한의 근육만 발동시키고있음ㅅㅂㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0
요청이 정말 많았던 speechless 커버시도! speechless cover!	도 라비님의 도 같이 들어요         	0	0
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons	감자 좋아요 많다	0	0
Believer - Imagine Dragons (cover by jinsoulcoe)[4K]	감자 좋아요 많다	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	모두 연예인이 될 팔자긴 한데 그게 아이돌은 아닌 사람들의 모임	0	0
심심해서 단발로 잘라버림 ㅋㅋㅋㅋㅋㅋㅋㅋ	   제 붙임머리는 굉장히 오래 하고 있어서 폐기해야하는 상황에서 하게 된 것이랍니다	0	0
사랑하긴 했었나요... - 잔나비 (cover by 최진솔)[4K]	이언니 뭔가 아이폰 광고에 나올것처럼 생겼어	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	연말 시상식을 위해 열심히 연습한 신인배우들 같다	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	몇명은 백댄서인줄 알았는데 자꾸 하나둘씩 어디서 숨겨놨던 핸드마이크들고 앞으로 나와 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미치겠네	0	0
[직캠] 백예린(Baek Yerin) - Square	이젠 저 물병이 손소독제로 보이는 지경에 이르렀다ㅋㅋㄱㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄲㅋㅋㄱㅋㄱㅋㅋㄱㅋㅋㅋㄱㅋㄱㅋㄱㅋㅋㄱ	0	0
Believer - Imagine Dragons (cover by jinsoulcoe)[4K]	에서 최진솔 고소했다며ㅋㅋㅋ 노래가 막혀서	0	0
유노윤호 “창민아 생일 축하한다!!!!!”	심창민 생일트라우마ㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons	에서 최진솔 고소했다며ㅋㅋㅋ 노래가 막혀서	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	 이 악물고 하드캐리하는 동준 자신감 맥아리 없는 형식 카메라랑 낯가리는 시완 끼는 혼자다부리는데 아무도 이름모르는 애	0	0
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons	여기 들어오는 사람들 특  오진거 틀어놓고   한국인들 드립력 보러 오는거임  분초 끝날 때 까지 댓글 다 	0	0
Believer - Imagine Dragons (cover by jinsoulcoe)[4K]	여기 들어오는 사람들 특  오진거 틀어놓고   한국인들 드립력 보러 오는거임  분초 끝날 때 까지 댓글 다 	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	어디까지가 멤버고 어디까지가 백댄서인지 모르겠음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0
[Rain & Tae Jin Ah] - LA SONG @ Popular song Inkigayo 140126	정보 이영상을 보게 된 사람은 최근 깡을 본적이 있다	0	0
Believer - Imagine Dragons (cover by jinsoulcoe)[4K]	어 약간 이상하지만 언니 단발머리 밑에서 올려다보고싶어요	0	0
오마이걸(OH MY GIRL) - 다섯 번째 계절(SSFWL) # 교차편집(Stage mix) KPOP 무대영상 [1440P]	누가 승희 머리 묶고 리본으로 장식했냐	0	0
[직캠] 백예린(Baek Yerin) - Square	예린이가 정확한 가사 올려줬어요    모든 색깔들과 성격들 가운데	0	0
우리집 준호	어릴 땐 뭣모르고 근육질 투피엠에 설렘을 못 느꼈었지 귀한 줄도 모르고	0	0
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons	어 약간 이상하지만 언니 단발머리 밑에서 올려다보고싶어요	0	0
유노윤호 “창민아 생일 축하한다!!!!!”	하도봐서 이제 창민아생일축하한다가 노래의 일부분같네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	0	0
B1A4 - Good Night, B1A4 - 잘자요 굿나잇, Music Core 20120526	아니 개소리를 ㅈㄴ 감미롭게 부르넼ㅋㅋㅋ	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	신나는 멜로디 슬픈 가사 화난 표정 	0	0
2PM - 우리집(My House) Mix (Live Compilation/무대교차편집)	아니 가자매 왜 논산으로 간거야	0	0
JYP식당에서 유기농 잔뜩 섭취 후! 박진영선배님께서 하신 말씀은?	우리 모두 건강한 식습관으로 건강해져요	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	이 영상 특징  썸네일 아이돌 시절 임시완에 이끌려서 들어왔지만 웃긴 댓글들 때문에 노래는 배경음악 삼아서 들음	0	0
마법소녀 광희	배경 글라스데코인가요	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	김동준 임시완 박형식 빼고 중간에 화장실 갔다와도 모를듯 ㅋㅋㅋㅋ	0	0
유노윤호 “창민아 생일 축하한다!!!!!”	미친ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 대단한거 같음 심창민은 생일때마다 저 영상 엄청 받을듯	0	0
[19 서울예대합격 최진솔 COVER] Believer - Imagine Dragons	자꾸 잘한다 잘한다 하니까 세상이 자기 건 줄 알죠	0	0
INFINITE - Man In Love, 인피니트 - 맨 인 러브, Music Core 20130406	엘이 남자아이돌 얼굴 탑먹을시절	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	못뜬이유노래는 잘뽑았는데 춤도되게 힘있게 열심히추는것도아니고 다들표정들이 집빨리가고싶어보임	0	0
Believer - Imagine Dragons (cover by jinsoulcoe)[4K]	자꾸 잘한다 잘한다 하니까 세상이 자기 건 줄 알죠	0	0
제 휴대폰 궁금하신가요? Are you curious about my cell phone?	갑분폰 갑자기분위기폰소개 살짝 공개되었듯이 이번 주는 유익한 컨텐츠가 찾아옵니다                           	0	0
[SUB] 저 이사했어요! 새 집 첫 브이로그. 서재 정리. 집김밥 만들어 먹기. (쿠키 영상 있음)	제가 중간광고 설정 안했는데 왜 중간광고가 설정 들어가도 어떻게 하는지 모르겠어요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ알려주세요	0	0
슈퍼주니어_데빌_댓글모음	개인적으로 슈주 노래중에 데빌이 제일좋음	0	0
[IU TV] 아이유 분노의 티켓팅!	콘서트 가시는분들 어떡해 아이유 티켓팅 실패해서 못옴 ㅅㄱ 관객들끼리 아이유 노래 부르다가 가시면 될듯	0	0
(ENG) 골든디스크 시상식 겟 레디 위드 미 | Golden Disc Awards Get Ready With Me	낯설다고 이상한건 아니야 명언이다	0	0
[IU CLIP] '사랑이 잘' LIVE with 오혁	이겈ㅋㅋㅋ뮤비보곸ㅋㅋㅋㅋ회사에서 아이유한테 너가 원하던게 이거냐고ㅋㅋㅋㅋㅋ그랬다죸ㅋㅋㅋㅋㅋ	0	0
[뮤뱅] 제국의 아이들 ZE:A - 후유증 (20120817)	몇주째 버텼는데 임시완이 하도 쳐다봐서 결국 들어옴	0	0
[IU TV] 100만 구독 달성 기념!! '이지금에게 물어봐'	 석류즙은 식후에 먹는 게 좋아요특히 위가 안좋은 사람은 공복에 먹는 건 안좋아요ㅜ 석류즙을 식후에 섭취하면소화를 돕는 기능이 있다네요ㅎㅎ	0	0
